year,OdName,CODE,number,AreaName,RegName,DevName
1981,Singapore,SGP,3560,Asia,South-Eastern Asia,Developing regions
1981,Slovakia,SVK,0,Europe,Eastern Europe,Developed regions
1981,Slovenia,SVN,0,Europe,Southern Europe,Developed regions
1981,Solomon Islands,SLB,220,Oceania,Melanesia,Developing regions
1981,Somalia,SOM,0,Africa,Eastern Africa,Developing regions
1981,South Africa,ZAF,4200,Africa,Southern Africa,Developing regions
1981,Spain,ESP,1480,Europe,Southern Europe,Developed regions
1981,Sri Lanka,LKA,510,Asia,Southern Asia,Developing regions
1981,State of Palestine,WBG,0,Asia,Western Asia,Developing regions
1981,Sudan,SDN,40,Africa,Northern Africa,Developing regions
